n,a_num,a_den,b_n,lcm_1_n,d_n,d_n_a_n,d_n_b_n,gcd,d_over_den_a,gcd_num_a_b,log_gcd_over_n
35,18896172787864595774331478580689921476578096517099360629659363753713533936616560651508517289,38604597916138939319299201386001152000000,407201895741328038643638742179545192478609191472365,144403552893600,3011158637458837266905337708108089856000000,1473901477453438470397855329293813875173091528333750129113430372789655647056091730817664348542,1226149505551112846332685795109866541472507390460513137463366521589919225025944360829440000000,78,78,1,0.12447739504827404
36,24622329601442790029073562156071497389964461233431940977662372489959247656411592351336774693,1544183916645557572771968055440046080000,13264933862314086588526333019005254963413604768312625,144403552893600,3011158637458837266905337708108089856000000,48013542722813440556693446204339419910430699405192284906441626355420532930002605085106710651350,39942820174827276636871193516795475762112915107650853680754073357483934752811324999232000000000,1950,1950,1,0.21043290698771647
37,59815777435207428568649515585783231442751208696917545245651448454881795098295526524890987171004173,115025805779187393725909555753242138368000000,432608890743363080972636276208886395181797990653684645,5342931457063200,152524218463202484080556070928799075475968000000,79315720879085050282029257666748564893088102732112664995733820651173260300339868172005448988751533398,65983332960864405443081685534762107395776023937133119805182636717145416318436119633156348111360000000,1326,1326,1,0.19432222083096778
38,120723321692482967838284249142380564683840912524386543259199476567898065774756262845580198504742147,7110686175440675248510772537473150371840000,14123900124474974355463488387575208768428006139187446625,5342931457063200,152524218463202484080556070928799075475968000000,2589515250303759660131197144104063112468387573648091352909828772381413510868521838037695257926719053150,2154236828137873746699605811372456551175403353476207123222180558731448466707526652968642470208000000000,21450,21450,1,0.2624599980093727
39,454997898801854879055203923565872131064027034048862209011202940734564024664688175768129623643155778591,820022679909690774626645542627952018688000000,461592241038601221317568598272003199462332786066242772365,5342931457063200,152524218463202484080556070928799075475968000000,84629609177145007504267929783252216377909028333088370876083746976628908587632000692872109997626974817926,70403995813090831776697963021813846261556855965905296201923179194145839949815792766425002252024320000000,186,186,1,0.13399350445418465
40,92284178560075607229545061291234025622255421283227668140936631022345088101362998335930013881391890629729,5084140615440082802685202364293302515865600000,15100268525919986925572504996818177040381209593531087707425,5342931457063200,152524218463202484080556070928799075475968000000,2768525356802268216886351838737020768667662638496830044228098930670352643040889950077900416441756718891870,2303156655500440627882745158531415105387135609431727272318477459270146299644431633964015385802662400000000,30,30,1,0.085029934541553887
41,41652069336943959379851176369143997420199556058799299418075161822764408062648027125649057913806007654812907513,70080811071349189368773366429891740539194603520000,494438677791110331986222037672826221379374110829159839541125,219060189739591200,10512121660702378405316004964483761080879190528000000,6247810400541593906977676455371599613029933408819894912711274273414661209397204068847358687070901148221936126950,5197599534696974926355629578764133241150602755207482975119737176623165061055594854422960891537556966464000000000,150,150,1,0.12221061692917697
42,139290226253375244623085636662195770229161483813318233796723697982952135919101968442837340443903483290505766593,7151103170545835649874833309172626585632102400000,16204012637643564134944174573318170906068938798508028723732025,219060189739591200,10512121660702378405316004964483761080879190528000000,204756632592461609595935885893427782236867381205577803681183836034939639801079893610970890452538120437043476891710,170338552238467990458694298396669466751579128131162231900602793654155584015995164576495685430444125190259200000000,1470,1470,1,0.17364327808982813
43,72649166689723232556316205986092628055157306889983666547611778452686671255362966647547524245620377760252452654951611,113712551956117551002919674382477604388770313103360000,531492577920058494830906965608283383123328156566952626026355125,9419588158802421600,835787256877463999871459606711210392257461801309696000000,533971375169465759288924113997780816205406205641379949124946571627247033726917804859474303205309776537855527013894340850,444214723750537480077941858889423514717392558582578073673943177614801562009185412173714017737042824417938201792000000000,7350,7350,1,0.20703385098155541
44,11924031504987057013551928340222552803837972925180295197358695104628282952761737737020781810097587760109458442059456987,568562759780587755014598371912388021943851565516800000,17446956469170505526918984913610522180024171894385647979410457425,9419588158802421600,835787256877463999871459606711210392257461801309696000000,17528326312330973809921334660127152621641820200015033940117281803803575940559754473420549260843454007360903909827401770890,14581943888228541619498042350684806684334155939140789786430843274317318102057869010007670560468245523505823447692800000000,1470,1470,1,0.16575040181301778
45,1958609690079185651519270135286480812094706409255459035535923351625905275818893991047521959185763860177114459126865138131,2842813798902938775072991859561940109719257827584000000,573158130094091509896823954287273156502032876616634989286084964005,9419588158802421600,835787256877463999871459606711210392257461801309696000000,575831248883280581546665419774225358755843684321104956447561465378016151090754833367971456000614574892071650983298350610514,479038261308357390260771277049974440195599963180293540912257393472905289232988376511376974083178468673690842017492480000000,294,294,1,0.12630177260752626
46,677792660150428653175682847054812422721404727444039731799150882601565032592715365613746590590183927290357500269669073241,29924355777925671316557809048020422207571135027200000,18842868840510684130726174724393234844121893058638825682059447790225,9419588158802421600,835787256877463999871459606711210392257461801309696000000,18930748998001472283196821918240910966608834037512029709150284151061711360314540161591942275183837089219684982531857215621130,15748629659912265390150172028912367833639628237403581739744177848535052652178611558070940842855744593767881438066521600000000,27930,27930,1,0.22255340562911355
47,12937247561902672294820237620190935794134961049407574636909596359009917581840943016193559083043739948591948887386659430757016197,17361732767264694849670778460899959294787206201956096000000,619903080638433291652133768202852831319657957808718399474465302262365,442720643463713815200,86773940370788944858654550747577996555346456597376567808000000,64660363314389556129511547625714297099086535324939058035274162602331568074041033194935408297052612263062560539158523834923566952606,53791432954987781328378883712780508503187716859204681236828594233038821331820540993854952054006331084148338129916901228945920000000,4998,4998,1,0.18120836407223187
48,76214120437374642222103817452304576423028534819803149647789253583263846195698857869860029124880979336592392542394881093083226487,3106836389931576973098981408792624294856657951928985600000,20407604627034218634187650429709995262016693431943802877443284992092025,442720643463713815200,86773940370788944858654550747577996555346456597376567808000000,2128660383815873757263359621442866819495186977517101969662753852580559224245869100305190613457925752871025523709089028929814515781910,1770848267016903852460495489224451564451707306825542029167116174988066273813645298400157992935037951300578160366130316188531200000000,27930,27930,1,0.2132803470612338
49,364421772668804385152900449925223991748393936308273223526089661165356890211381633576774434365129634767464839343684124692369482376051281,450961538593645577068462286460897769977027797165153981184000000,672263892742494684823288023413485802270813139858223098722258869327599005,3099044504245996706400,29763461547180608086518510906419252818483834612900162758144000000,24051836996141089420091429695064783455393999796346032752721917636913554753951187816067112668098555894652679396683152229696385836819384546,20008900521199189219893524991242873930778337734121944768851154804960829872752349565567427513562474919489642601495659463042030046720000000,66,66,1,0.085503158000539287
50,132133531483715301292846297174908076944029360501973816624647759661190675175376524595069497331599092248689922907925477527561129180914235159,4960576924530101347753085151069875469747305768816693793024000000,22159289267919256357975989248225451256263203286184474224684522415569903073,3099044504245996706400,29763461547180608086518510906419252818483834612900162758144000000,792801188902291807757077783049448461664176163011842899747886557967144051052259147570416983989594553492139537447552865165366775085485410954,659537154038566714144742693996116265534785398448251559877567985145719054483975862084866963282257880690767172192069359995826421376512000000,6,6,1,0.035835189384561102
51,21258515884344396826850476870158092242346316189628963333771806206570688727159999413813911431655421859444923354567724153753051250060911079,24197936217220006574405293419853051071938076921057042892800000,730852248537001330286255206493818913053505494743673534265031262812676859165,3099044504245996706400,29763461547180608086518510906419252818483834612900162758144000000,26147974537743608097026086550294453458085968913243624900539321634081947134406799278991111060936168887117255726118300709116253037574920627170,21752692796001523926798822313397247896186047777290433853733342117621710402396786152188330265615306501927863947229322959733769444789760000000,1230,1230,1,0.13950528330130318
52,143816371987511428077291198664635071315513727713112840605286260188595900839971751914222457587988759464683610192897624263006906260280758893607,4960576924530101347753085151069875469747305768816693793024000000,24118545478569221522220535891464306054025125759758523198656184698879247893329,3099044504245996706400,29763461547180608086518510906419252818483834612900162758144000000,862898231925068568463747191987810427893082366278677043631717561131575405039830511485334745527932556788101661157385745578041437561684553361642,717851400925321741702829796054576395024089768219632050107546476669686654785442658113113062678691727078169884843349687992611334138021376000000,6,6,1,0.03445691286977029
53,4561042734617263900608389875692993210285712144020046790217613862438289273916361126685112135303429190940030718576647812292121273198728218098315157,4764618134150115473222168116360192582642384780284664011767961600000,796362892209112896336931248654199983419105577493639845719852706327463957351685,164249358725037825439200,4431094864759607390096616348214979101857417845664737530944204288000000,4241769743194055427565802584394483685565712293938643514902380892067609024742215847817154285832189147574228568276282465431672784074817242831433096010,3528759522152908907075497725333732884640409370488197138725071314249233742788295888969357674941235479832066587787115794035605628934960101025280000000,930,930,1,0.12896574690843965
54,4125647302844007532065477401541755861101211952574562896524514248559100276275359222720281941357753994771137522697122641784069128637493573052605863,130456776328081239772025447453776691451964253832206840103168000000,26308762982707997150163347174607600383446073635531980036072760356460577053767073,164249358725037825439200,4431094864759607390096616348214979101857417845664737530944204288000000,140131736288399559834136005420767279578163765181147603343351650966558399983968851358917096420157472186396457095930467650837692023301106702304810742658,116576624550855057769780737879258335567465317967861104234547585099887353386183396120249559369631782669528700152664604405279971658470966879809024000000,33966,33966,1,0.19320583894934659
55,137237649365923858414989933036593608466651026294584501116460730294166863904507246971962332667901011658534717299835943218326228460131752472134478151,131291699696580959706566410317480862277256825056732963879828275200,869582864469011442233018824680867259036999718563485864311203118504545920921930125,164249358725037825439200,4431094864759607390096616348214979101857417845664737530944204288000000,4631770666099930221505910239985034285749472137442226912680549647428131656777119585303728727541659143475546708869463083618510210529446645934538637596250,3853204165231586258988007843608783539734224232815533646779907733247324157863721218747813629471703992061725381310772666194264185152486587261376000000000,33750,33750,1,0.18957701266001231
56,613289174187873492905465174555585364092529027855593205515399120489639729087563475208236273647232855963282790533678991124949584135547488303869624139,17742121580619048608995460853713630037467138521180130254030848000,28756413555871036808293076865739658212507121097422378401844542574993990325711849625,164249358725037825439200,4431094864759607390096616348214979101857417845664737530944204288000000,153168971253421404853139927345257444682109124706934403077470930342287522339618977933257009343396405776829876935786328033456158637852985203891438628715250,127422396436323712497296562618605633033882091178063950116708571790981895835377307746790961063163943157667962299913938424097035776221571318336192000000000,249750,249750,1,0.22193242315197859
57,750751939684361205966228824423264943191481936043532049753561354439938823672741674931620913359216347137729671984290623771268611323131278742609707178387,656458498482904798532832051587404311386284125283664819399141376000,951402221231128004819981564412888865231628572105287218797629452011718191049206740125,164249358725037825439200,4431094864759607390096616348214979101857417845664737530944204288000000,5067575592869438140272044564857038366542503068293841335836539142469587059791006305788441165174710343179675285893961710456063126431136131512615523454112250,4215753496818135217285888293440821888894102200251714161695854569280804582224343796088113660951062258076620752617761273901124869751308614274526656000000000,6750,6750,1,0.15468943480467676
58,24849890307085999401712805770042732240321038940005756840043078632738005697686847635475055755502091090869344980917664837067525334398317072711162679886303,656458498482904798532832051587404311386284125283664819399141376000,31491414921220729264605881320348600737039126713065424519131772744308465085922076644625,164249358725037825439200,4431094864759607390096616348214979101857417845664737530944204288000000,167736759572830495961561438947788442622167012845038858670290780770981538459386221539456626349639114863368078621194237650205796007188640240800348089232545250,139541446941435249553487736983185166963306708692374082884837988609898026530245108046249221287115146474546689085921114278208857663169623477969577152000000000,6750,6750,1,0.15202237558390647
59,33801061232826239788374937681672222770906327468378856171348367386915610674813033546136844805975465403286543004136486665367534468202560963962742352105264311477,26964557991984100923574902784593902013640729473326759388675251332300800,1042826366706966859685399750555713767106229219110294105885695925492968540589201843110125,9690712164777231700912800,910053832229463406170652968980044192960374619724778129367789732465152000000,1140785816607885592857654146756437518518088552057786395783007399308401860274939882182118512201671957360920826389606424956154288301836432533742554383552670512348750,949028131371602901902851392606823564324325951518099404420850951125503586060219270332917469063163952829592417818302370750580439932721909019652335962860864000000000,33750,33750,1,0.17672433383560468
60,63624282207124732111281912543360934157491213580469170039092633855158071506869992240746263461228459471143312851165281232039153111072317725368204071657762782568819,1532077158635460279748574021851926250775041447348111328902002916608000000,34547548173359684543583762977669391020604388434726899893252906201227174786930976149088729,9690712164777231700912800,910053832229463406170652968980044192960374619724778129367789732465152000000,37792823631032090874101456050756394889549780866798687003221024509963894475080775391003280495969704925859127833592177051831256947976956728868713218564711092845878486,31440128609297979311903407856028978093786385968626393675138520340822819386034457421895784315416874832727421671906180512735806367365128686470294100831548471808000000,594,594,1,0.10644798865604409
61,210595750197755771202592060843005130969089290162650268363213102716875769316533825243537286661949585501934616936576225389099012050265633598140184363926695926816179343521,153011058439463580293348875223747711823954660414629529320022430566424197120000,1144990166138819399050900346105721564507228054335511868050214786140814402440570405884240525,591133442051411133755680800,206564928893275833396020981552059410962338791559749864582030281264672666112000000,284304262766970291123499282138056926808270541719577862290337688667782288577320664078775336993631940427611732864377904275283666267858605357489248891301039501201842113753350,236514812251965312057854920114006708698294747489103149447339922007688583517226280319981376488926975998630929475409058658921126321299243102041055196765437596024588800000000,1350,1350,1,0.11816163723659796
62,174561164535130310411157375033314287790589961777880877486688188669127786891402599262290090735515603454822522041860801917514066250771969271038461101363912273451758064081717,3825276460986589507333721880593692795598866510365738233000560764160604928000000,37962934502672519870976953192526836551876127711356381955951055301047006486566474409388111417,591133442051411133755680800,206564928893275833396020981552059410962338791559749864582030281264672666112000000,9426302884897036762202498251798971540691857936005567384281162188132900492135740360163664899717842586560416190260483303545759577541686340636076899473651262766394935460412718,7841810866124636830760278124174580218256005569591310586979273048780296429786170010106239153929493945161145692090439720791683969116722353394175508744790188293896200704000000,54,54,1,0.06433845236393991
63,231597361305949928933078451885085275247033305124927685767611868458367975429168081090962293180527477923384367869976408539343602595636640747479785312090449755960712355744281,153011058439463580293348875223747711823954660414629529320022430566424197120000,1259174038175047974317863495080242994131218822734412863166190934434435134011896271498302159525,591133442051411133755680800,206564928893275833396020981552059410962338791559749864582030281264672666112000000,312656437763032404059655910044865121583494961918652375786276022418796766829376909472799095793712095196568896624468151528113863504109465009097710171322107170546961680254779350,260101195659887774552964439591783694978724691925524750520062578394709373525252374464418798927316204808310931683528350778832004834882522322686748433490405967848885516800000000,1350,1350,1,0.11441047414972183
64,90407272125252115766277151339101545992263864865704429901704440013683662429270578388436082452290949109502312555620735732174021123133999627239422287131253268698387997878184221,1800130099287806826980575002632326021458290122525053286117910947840284672000000,41780578106917585069832822287618738257208746921562421513072286784257862233522419575387456138729,1182266884102822267511361600,1652519431146206667168167852416475287698710332477998916656242250117381328896000000,82993875810981442273442424929295219220898227946716666649764675932561602110070390960584323691203091282523122926059835402135751391037011657805789659586490500665120182052173114878,69043217166203103920865970601568189793134576469094711585492808346011233661895810996306957540044842660519938968257182200515164167044746332041268744788094755902922952413184000000,918,918,1,0.10659683422844517
65,1760658801491531922548001285727864889650565696324704552095933538569654194990345371928152764502217705581336027563780779909161026345799239807291173741488767212512726857775663,1056159160928135153017075929068146414660601624949988123002743265342013440000,1386822262917985982878714312074983827905860349678583165441787882847627972581983499391319762755725,1182266884102822267511361600,1652519431146206667168167852416475287698710332477998916656242250117381328896000000,2754814793753725422614730211714103799591757616754448977436902411123009436191643886187384222978394933037837415527669597284868799871954780564478134994620399619058038078018691112950,2291750737018125257108564063549398745281442382649344853660193441924939532245938093591146581620499241149837113476073312291534215969170453263842509840480695260784447531929600000000,1564650,1564650,1,0.21943342638111119
66,2710303157228181464260682167138482193845805787398138550447597174624589645353859022301529660217111742137481240984924963327490613163450681929495233804096649476146072531854854629,48963538700628345693871640071599267783665491332681449382407177781255743078400,46048983350910416359967199109500704576673199526168863550999155546829493051030593541148339536240625,1182266884102822267511361600,1652519431146206667168167852416475287698710332477998916656242250117381328896000000,91472731556451124418798023140923774042295945324687176077606404643579900530692742002676626032327521297139991883241217512302808194266460515120464140888261919819929947950101343728750,76096839771907622957365149078753517985253438101137408969009472742153569272986176117408052107437671749039486340370936265297474804883632797295083998400630844033990914521600000000000,33750,33750,1,0.15798084388334357
67,35626752060889644325631522841742053036045207104729550561863012175417972466461089697265252978317709536406385369063583838284401327563386267142960525897236885587527235608492432934277697,19376869460811951494639363266913698126866558118014829948159118435557659283537920000,1529563780181294435069542634488301758778787287357696000206286548633177622491764698401225544787178925,79211881234889091923261227200,497016701669826555837499667796336356954127215727080388170281387872053960622747648000000,913826190361819376952448560890683660374559562236312971911786262299470993764726950734853738893849249608823784716480925451994894052000857752216937489264126115320073593357830904764222928050,760218745019338580840545670430670028963904540100477276713146808146774651105956510447817372990582977298164645725729382953019681240439829170392125282587117649778282108527336098918400000000,25650,25650,1,0.15152684851640172
68,76242879080274148302495265587623774753564656001927759832615398194605883715875945405996533472152292338576562136714254253524085932771005267018232544540634876205418699083468429512182969,1248001761882803655586942040919865303086320692346717861067875424663035682668544000,50822855504602809965791771523365566478929489276752028581597567558772879988051522582127095047591948625,79211881234889091923261227200,497016701669826555837499667796336356954127215727080388170281387872053960622747648000000,30363726593719179561468739520271168295607124252767730353339082331001793189847595257938119455284650423838115870946451756465967222726052847590011110863307839448807996909991302053226867404250,25259808012339877185002760579760926351353082747735238027954780543493177680328391238837196108769182535621086822024975450056036011538679737188780732444566772285225415508139069955584000000000,398250,398250,1,0.18962992982018081
69,747571122218451942807771705756696678612005127176365529305009296506613759492555999774289649728724957433489433487146800897790162889394583544109667252698840359774137532677525123964112989371,368160519755427078398147902071360264410464604242281769015023250275595526387220480000,1689235794525454910904366751818182250191295183029148080378469567444296661674010424089777422822930550725,79211881234889091923261227200,497016701669826555837499667796336356954127215727080388170281387872053960622747648000000,1009221014994910122790491802771540516126206921688093464561762550283928575314950599695291027133778692535210735207648181212016719900682687784548050791143434485695085669114658917351552535650850,839578402937650454586345029006411399188580335616703829841624557134343631788636741345372761460513554526617214532485484395269375969592831080976529553272282302849252046198641931338444800000000,1350,1350,1,0.10446173726713733
70,20044617855274291294259090402183031019312974475450155192561494881248509064438127243613464651722636524116782950166357492417344643804966326421945892677462371988632409122425948270967492648057,296903644964054095482377340380129245492310164711517555657276814738383489021952000000,56163895786407180486121650876618325457933713417125755743619049359896575836341793156770921771348680987073,79211881234889091923261227200,497016701669826555837499667796336356954127215727080388170281387872053960622747648000000,33554690289729163626589717333254393926329919271903559792347942431210004173869425005808939826983693541371494658578482442306634933729513630430337424342072010708970652870941037405599582692847418,27914394236687966364949140798916757819279042192896931510045276016797314279225760748360015598432606846291243847827273262230951224321220028932990508756477839459738113704103331682029154304000000,1674,1674,1,0.10604244644356316
71,4706023015992124376783067906296861768240646442942085528247107793268917660764975085110427429792581271100436765783634573948473949999888972433538613356130664435538122649504771722886016830049499,2095911521124500330153612310253678635320422923854201093535742134160476645948211200000,1867910550173357912456486377366796176248530419552924457080056486408787748801169810446476443274604003848685,5624043567677125526551547131200,177887744711349292426355343600654541853808625908095068810413581814674705100448233443328000000,399417538592180606796529302727988893690508471597869255077931270242490204175291658231386033443712307103184428923722807902584854005366076680742701873018093612795887604936046648728993697768403862781310,332278395092874296132976132559481275613615873427407968726084181959442679007564969872726349179347443133107759793440686534053218145604459233540942708633609508536353346905531618294251441834823680000000,84873690,84873690,1,0.25713626351072644
72,246071007293860786994796122576387573315028438434337594337072850889652602170755209390900632116403648644427099152472500145752612429390342966973705276150147161782468845779427128042728844528028000914801,3294217494654616526413987844456565589885344924223982755748399663234716761119411730432000000,62141702992681892741505332854843792246933594580561594618615626968607041121468951103531004574548050658593329,5624043567677125526551547131200,177887744711349292426355343600654541853808625908095068810413581814674705100448233443328000000,13287834393868482497718990619124928959011535675454230094201933948041240517220781307108634134285797026799063354233515007870641071187078520216580084912107946736253317672089064914307357604513512049399254,11054247397890686863449351539781710226507685656284927564644028322124355908208245616345466249585014483887143217295847852613890538419567889580829293209308512536660481270186676318369366010520358912000000,54,54,1,0.055402556202281593
73,637104688158618201490490394518598495425981130110999133639937011183470721134741100932399457684106356232342654515512916260551936174560935354092753377398252085516156955891992235647706558566443902754663432809,256301321423610991451198061857391955216085445277368219938595038358515962052078038627493068800000,2067925690905397189615831147275339447667192292633928233344329648926562854442209762595291131356328166111662165,410555180440430163438262940577600,69201356784374967691823476701495827908343070224889419383420660356799309754061070429423128576000000,172018265802826914402432406520021593765014905129969766082782993019537094706380097251747853574708716182732516719188487390349022767131452545605043411897528063089362378090837903624880770812939853743759126858430,143103263539919500233017296227814209435796622844829546327603910154361582217961593903393309646925887114867454982718853952705353146459401973644752967444994131955221563790684475322711965835137853869527040000000,270,270,1,0.07669071176710103
74,106036138689987615249970508143231588180957659095926164254545713684898922851263022168958471622253386058114610811785545928034673660555622342609890083116946884332470780830209364711163559981728881991551584890529,1281506607118054957255990309286959776080427226386841099692975191792579810260390193137465344000000,68834795736690890532666476763266569758984274770074161250065158842825806159270947831164817938845169439035448073,410555180440430163438262940577600,69201356784374967691823476701495827908343070224889419383420660356799309754061070429423128576000000,5725951489259331223498407439734505761771713591180012869745468538984541833968203197123757467601682847138188983836419480113872377670003606500934064488315131753953422164831305694402832239013359627543785584088566,4763461258954319259748268143116212400040261162056789086920942654255744650087726635519958820649808480338953205272219247631682558606878750245873801595243032344984490625614664082491799831243121273650434048000000,54,54,1,0.053905189818436144
